TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
1,1,1,2,MBox7368722-HH,9,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous à elle en passant par moi,75,French
2,2512,5,4,139137-A047,7,007,1m 58sec,[unknown],Cantigas de roda (unknown),null,Por.
3,2,1,2,MBox38440522-HH,17,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
4,3,1,5,4489993,10,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
5,4,1,5,10339621,2,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
6,5,1,3,49425110MB-01,6,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
7,2136,3,2,MBox28675636-HH,11,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
8,6,1,2,MBox9589118-HH,9,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
9,7,1,5,10992441,9,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
10,6842,4,5,15761001,4,Στα καμένα,195000,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek
11,5568,2,5,855829,6,,188400,Anathema,Alternative 4,1998,English
12,8,1,5,8987422,23,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
13,9,1,4,182555-A056,2,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),null,Eng.
14,10,1,4,51445-A041,1,001-Deja Vu,3m 36sec,Blanket,Nice (2000),null,ng.
15,4209,3,4,231700-A015,19,019-Feeling Good,2m 55sec,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters (2000),null,Eng.
16,5371,2,1,WoM186470,011,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",04:04,Max Bruch,"The Classical Album, Volume 1",1996,
17,11,1,2,MBox374174-HH,14,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
18,12,1,4,131573-A04,1,00-1,3m 52sec,, (2010),null,Jap.
19,13,1,5,12319476,16,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
20,14,1,1,WoM109609,021,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
21,3118,2,3,4763264MB-01,6,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
22,2151,3,1,null,008,Outro (Working Title),01:26,FeSo,Working Title,2011,
23,15,1,1,WoM30789732,003,10cm,03:45,Anemone,10cm,2013,
24,2142,3,2,MBox16772235-HH,12,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
25,5893,2,3,50116112MB-01,9,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
26,16,1,2,MBox18800718-HH,3,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
27,5498,4,2,MBox2508308-HH,2,Tony Rice - Urge for Going,350,,Night Flyer,08,English
28,17,1,1,WoM16891123,010,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",2002,
29,3385,4,5,12056183,5,En dless Love,26 6000,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English
30,8950,3,4,88781-A026,11,011- ,3m 41sec,   ,  (1973),null,Heb.
31,18,1,2,MBox7094517-HH,18,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240,,Tabu Recz,,null
32,7301,3,5,10346140,13,Tuning,78000,The Doros,Live in Vancouver 1970,2010,English
33,1396,2,4,138087-A067,16,016-Action (interlude),0m 41sec,Hell,Teufelswerk (2009),null,Eng.
34,19,1,1,WoM5835623,016,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
35,4960,2,5,808715,4,Thunder Underground,388826,Ozzy Osbourne,Ozzmosis,2002,English
36,20,1,2,MBox6346918-HH,2,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,null
37,21,1,2,MBox4077320-HH,4,Special Feature Including A Hybrid Documentary,null,Hybrid,Morning_Sci-Fi,3,English
38,22,1,1,WoM11218425,002,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,
39,519,3,3,5235450MB-01,13,Mu sõber tuul - Uus Laine,4.567,Laine,,'00,Estonian
40,23,1,1,WoM21753926,013,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,
41,24,1,4,222683-A055,6,007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),null,Eng.
42,1085,2,2,MBox14735916-HH,10,CharlyGarcíaNobombardeenBuenosAires,242,,Oro: Grandes éxitos,03,Spanish
43,83,3,2,MBox16900513-HH,,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,02,Dutch
44,25,1,3,23433710MB-01,2,Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,,'94,English
45,3059,4,2,MBox19839634-HH,1 1,Power of Dreams - Sky,344,,Become Yourself,,English
46,26,1,2,MBox30957614-HH,13,Amikaeyla and Trelawny Rose - Wonderful World,333,,"To Eva, With Love",11,English
47,5969,5,1,WoM25955420,043,Style Talks (g) (link) (Swing of the City),00:09,Keith Mansfield,Swing of the City,,
48,6133,3,5,14125370,7,闇に笑ふ,69000,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese
49,27,1,1,WoM843641,011,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,
50,7345,2,1,WoM5378731,001,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
51,28,1,5,3223149,6,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
52,2783,2,1,WoM1603756,003,Bring Back the Love (Spaced Out dub),00:00,Laura Harris,Bring Back the Love,1998,
53,29,1,4,203973-A017,11,011-Dey Want Some,4m 12sec,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2 (2012),null,Eng.
54,2175,4,3,4602838MB-01,5,Bury Me (demo) - Finch,3.833,Finch,,'08,English
55,30,1,5,2618386,13,Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,,
56,2357,3,4,88489-A06,12,012-Lullabye,3m 51sec,null,lovetheonlyway (2002),null,Eng.
57,4407,3,5,5441817,3,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
58,31,1,5,6963159,11,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
59,6178,2,2,MBox12438712-HH,10,Sinkhole - Wreck on the Highway,109,,Groping for Trout,92,English
60,32,1,5,5422406,20,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
61,1949,3,5,4113151,18,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
62,6563,2,1,WoM2592084,001,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,
63,7765,2,3,17615719MB-01,5,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,Jerry Rivera,,'97,Spanish
64,33,1,5,9304319,33,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
65,34,1,3,50078912MB-01,7,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
66,35,1,4,88219-A058,11,011-Der Weg Zum Licht,7m 9sec,Nihilistic Front,Mia Runa (2005),null,Eng.
67,7586,3,1,WoM27184945,007,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",06:43,Skatebård,"Remix You, Remix Me",2010,
68,6393,3,3,1872805MB-01,6,Le Marchand de Poisson - Planet Jazz,2.895,Sidney Bechet,,,[Multiple languages]
69,36,1,2,MBox13556620-HH,8,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
70,3371,3,1,WoM22505245,005,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,2007,
71,9071,3,2,MBox31178026-HH,5,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
72,37,1,2,MBox30985734-HH,12,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
73,9318,3,5,10047002,67,,30000,Stephan Sechi,Funk,,English
74,8711,2,3,2382778MB-01,1,"Mind 2 Motion - Bluffers Guide, Volume 6",4.722,Roots Manuva,,'05,English
75,38,1,2,MBox24013630-HH,2,Lark Daddy - Flip Flop,270,,Eleven Phases: Detroit Compilation,98,English
76,39,1,1,WoM16015840,008,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,
77,3713,2,5,3246316,4,Ten Million Teardrops,195466,Jason McCoy,Honky Tonk Sonatas,2001,English
78,9109,2,3,57275714MB-01,2,Who Dat Girl (Promise Land club mix),5.417,Flo Rida feat. Akon,Dat Girl,'10,English
79,40,1,4,203859-A027,20,020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),null,n.a.
80,41,1,4,61084-A067,6,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),null,Eng.
